index,Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_Cases,Total_Recovered,Death_Rate,Total_death
117,Mozambique,11.0,0,1690,32.0,0.0,0,0.65,0.0,40.55829670329671,1507,194,12.87,1733.0,0,1.0,11.0
118,Namibia,8.0,101,1734,68.0,0.0,26,0.43,5.48,7.92,1344,499,37.13,1937.0,127,0.0,8.0
119,Nepal,48.0,13754,4950,139.0,3.0,626,0.26,73.35,0.35,17844,908,5.09,19520.0,14380,0.0,51.0
120,Netherlands,6160.0,189,47064,419.0,1.0,0,11.53,0.35,3259.26,52132,1281,2.46,53833.0,189,11.0,6161.0
121,New Zealand,22.0,1514,21,1282.7401129943503,30.401129943502823,1,1.41,97.24,1.45,1555,2,0.13,2871.141242937853,1515,2.0,52.40112994350282
122,Nicaragua,108.0,2492,839,0.0,0.0,0,3.14,72.46,4.33,3147,292,9.28,3439.0,2492,3.0,108.0
123,Niger,69.0,1027,36,0.0,0.0,0,6.1,90.72,6.72,1105,27,2.44,1132.0,1027,6.0,69.0
124,Nigeria,860.0,18203,22117,648.0,2.0,829,2.09,44.2,4.72,37225,3955,10.62,42659.0,19032,2.0,862.0
125,North Macedonia,466.0,5564,4183,127.0,6.0,137,4.56,54.48,8.38,9249,964,10.42,10483.0,5701,5.0,472.0
126,Norway,255.0,8752,125,15.0,0.0,0,2.79,95.84,2.91,9034,98,1.08,9147.0,8752,3.0,255.0
127,Oman,393.0,57028,19637,1053.0,9.0,1729,0.51,74.01,0.69,68400,8658,12.66,79849.0,58757,1.0,402.0
128,Pakistan,5842.0,241026,27421,1176.0,20.0,3592,2.13,87.87,2.42,266096,8193,3.08,279077.0,244618,2.0,5862.0
129,Panama,1322.0,35086,25034,1146.0,28.0,955,2.15,57.1,3.77,54426,7016,12.89,63571.0,36041,2.0,1350.0
130,Papua New Guinea,0.0,11,51,0.0,0.0,0,0.0,17.74,0.0,19,43,226.32,62.0,11,0.0,0.0
131,Paraguay,43.0,2905,1600,104.0,2.0,111,0.95,63.87,1.48,3748,800,21.34,4765.0,3016,1.0,45.0
132,Peru,18418.0,272547,98752,13756.0,575.0,4697,4.73,69.93,6.76,357681,32036,8.96,408745.0,277244,5.0,18993.0
133,Philippines,1945.0,26446,53649,1592.0,13.0,336,2.37,32.24,7.35,68898,13142,19.07,83981.0,26782,2.0,1958.0
134,Poland,1676.0,32856,8870,337.0,5.0,103,3.86,75.7,5.1,40383,3019,7.48,43847.0,32959,4.0,1681.0
135,Portugal,1719.0,35375,13205,135.0,2.0,158,3.42,70.33,4.86,48771,1528,3.13,50594.0,35533,3.0,1721.0
136,Qatar,165.0,106328,3104,292.0,0.0,304,0.15,97.02,0.16,107037,2560,2.39,110193.0,106632,0.0,165.0
137,Romania,2206.0,25794,17902,1104.0,19.0,151,4.81,56.19,8.55,38139,7763,20.35,47176.0,25945,5.0,2225.0
138,Russia,13334.0,602249,201097,5607.0,85.0,3077,1.63,73.74,2.21,776212,40468,5.21,825449.0,605326,2.0,13419.0
139,Rwanda,5.0,975,899,58.0,0.0,57,0.27,51.89,0.51,1629,250,15.35,1994.0,1032,0.0,5.0
140,Saint Kitts and Nevis,0.0,15,2,0.0,0.0,0,0.0,88.24,0.0,17,0,0.0,17.0,15,0.0,0.0
141,Saint Lucia,0.0,22,2,0.0,0.0,0,0.0,91.67,0.0,23,1,4.35,24.0,22,0.0,0.0
142,Saint Vincent and the Grenadines,0.0,39,13,0.0,0.0,0,0.0,75.0,0.0,50,2,4.0,52.0,39,0.0,0.0
143,San Marino,42.0,657,0,0.0,0.0,0,6.01,93.99,6.39,699,0,0.0,699.0,657,6.0,42.0
144,Sao Tome and Principe,14.0,734,117,2.0,0.0,38,1.62,84.86,1.91,746,119,15.95,905.0,772,2.0,14.0
